date,time,action,ticker,price,quote
2026-01-05,17:03,SELL,IREN,47.02,"@VIP Taking profits on IREN at $47.02, incredible run the past few days, +25% from my avg, an"
2026-01-05,19:02,SELL,NKE,65.07,"@VIP Gonna be locking in more gains on some of my stocks here: @VIP NKE at $65.07, up 10% from my entry just 2 weeks ago @VIP ONDS at $11."
2026-01-05,19:02,SELL,NVO,54.71,"7, up 10% from my entry just 2 weeks ago @VIP ONDS at $11.81, up 82% from my average @VIP NVO at $54.71, up 16% from my entry @VIP All positions still have rema"
2026-01-05,19:02,SELL,ONDS,11.81,"on some of my stocks here: @VIP NKE at $65.07, up 10% from my entry just 2 weeks ago @VIP ONDS at $11.81, up 82% from my average @VIP NVO at $54.71, up 16% from"
2026-01-05,19:11,BUY,RGTZ,16.52,@VIP Opening a starter position in RGTZ at $16.52 to hedge. Remember that this is a hedge. Losses should
2026-01-06,19:07,SELL,RGTZ,18.01,"@VIP Locking in some profits here for RGTZ at $18.01, Beautiful 9% gains from our entry yesterday, an entire"
2026-01-08,15:57,SELL,ONDS,14.6,"@VIP Took profits on ONDS at $14.60, over 125% since our entry two months ago Only just hol"
2026-01-08,17:48,BUY,RGTZ,15.12,@VIP Added more into RGTZ at $15.12! back to around 3.5% of my portfolio now!
2026-01-14,15:38,SELL,RGTZ,17.52,"@VIP Took profits on RGTZ at $17.52, beautiful 12% in just a couple of days from my avg aft"
2026-01-14,16:03,BUY,SOFI,26.15,"@VIP Added a position in SOFI at $26.15, looking for mid-long term swing on this one. Around 2%"
2026-01-20,10:51,SELL,RGTZ,16.95,"@VIP Took profits on RGTZ at $16.95, up 14% from my last entry and 12% from my average. INC"
2026-01-20,17:21,BUY,RGTZ,14.15,"@VIP Bought back in more on RGTZ at $14.15, here we go again! Remember, even though we've been abs"
2026-01-21,16:01,SELL,RGTZ,15.8,"@VIP Took profits here on RGTZ at $15.80, absolutely unreal 12% gain in one day from our entry y"
2026-01-29,16:56,BUY,BMNR,26.97,@VIP Added BMNR at $26.97 (2% of portfolio) and ORCL at $164.52 (2% of portfolio)
2026-01-29,16:56,BUY,ORCL,164.52,@VIP Added BMNR at $26.97 (2% of portfolio) and ORCL at $164.52 (2% of portfolio). Mid term swings!
2026-01-29,17:32,BUY,MSFT,423.26,@VIP Buying MSFT at $423.26 for a long term investment! (Around 4% of portfolio al
2026-02-02,10:37,BUY,BMNR,22.17,"@VIP Added a bit more into BMNR at $22.17 (2% of portfolio), still bullish on crypto overall as l"
2026-02-03,21:04,BUY,HOOD,85.38,"rect crypto exposure, and it's heavily discounted here as well. Also doing a small buy on HOOD at $85.38, mid-long term swing. On a side note, IREN hit $50 agai"
2026-02-04,15:39,BUY,HIMS,25.96,"(2x Leveraged IREN)at $9.09, SPECULATIVE PLAY! Short term swing. TP $10+ @VIP @VIP Bought HIMS at $25.96, most likely holding as a long term investment for myse"
2026-02-05,20:12,SELL,AMAT,300.98,ive ones (Still have shares in all of them just trimming): META at $676.37 for a 10% gain AMAT at $300.98 for a 85% gain CMG at $39.01 for a 23% gain Buying wit
2026-02-05,20:12,SELL,CMG,39.01,"all of them just trimming): META at $676.37 for a 10% gain AMAT at $300.98 for a 85% gain CMG at $39.01 for a 23% gain Buying with a small postion: BTC at $66,0"
2026-02-05,20:12,SELL,META,676.37,cash to buy into more speculative ones (Still have shares in all of them just trimming): META at $676.37 for a 10% gain AMAT at $300.98 for a 85% gain CMG at $
2026-02-05,22:22,BUY,IREN,34.39,"@VIP Bought IREN at $34.39, mid-long term hold on this one with a small position."
2026-02-06,09:54,BUY,AMD,192.52,") IREN $33.34 CIFR $11.84 SOFI $18.97 (Safer long-term investments, allocated 4.5% total) AMD $192.52 MSFT $395.73 (Planning to build a bigger position in this)"
2026-02-06,09:54,BUY,AMZN,201.35,"ocated 4.5% total) AMD $192.52 MSFT $395.73 (Planning to build a bigger position in this) AMZN $201.35 (Crypto, allocated 0.5%) BTC $64,720.32 Yes, this is a ve"
2026-02-06,09:54,BUY,CIFR,11.84,"major news shocks. My buys here: (Volatile/Risky stocks, allocated 2% total) IREN $33.34 CIFR $11.84 SOFI $18.97 (Safer long-term investments, allocated 4.5% t"
2026-02-06,09:54,BUY,IREN,33.34,"xcluding any major news shocks. My buys here: (Volatile/Risky stocks, allocated 2% total) IREN $33.34 CIFR $11.84 SOFI $18.97 (Safer long-term investments, allo"
2026-02-06,09:54,BUY,MSFT,395.73,"4 CIFR $11.84 SOFI $18.97 (Safer long-term investments, allocated 4.5% total) AMD $192.52 MSFT $395.73 (Planning to build a bigger position in this) AMZN $201.3"
2026-02-06,09:54,BUY,SOFI,18.97,"shocks. My buys here: (Volatile/Risky stocks, allocated 2% total) IREN $33.34 CIFR $11.84 SOFI $18.97 (Safer long-term investments, allocated 4.5% total) AMD $1"
2026-02-06,13:14,SELL,IREN,39.85,@VIP TAKING PROFITS!! IREN at $39.85 up 20% from my average! This is what happens when you d
2026-02-06,18:35,SELL,IREN,44.02,"@VIP Taking PROFITS!! IREN at $44.02, up 30% BTC at $71,370.23, up 9% (or IBIT at $40.51, up"
2026-02-09,19:05,SELL,CIFR,16.75,@VIP Taking profits on CIFR at $16.75 for a 41% gain in 3 days Great buys recently Leaving so
2026-02-11,16:27,BUY,IRE,5.42,@VIP Bought IRE at $5.42 with a small position. VERY SPECULATIVE PLAY. Please mana
2026-02-11,16:55,SELL,IRE,5.75,"@VIP Trimming IRE at $5.75, 6% on these alrdy!"
2026-02-11,17:12,SELL,IRE,5.99,"@VIP Trimmed again IRE at $5.99, up 10% in 40 mins Holding runners now"
2026-02-12,17:40,BUY,HOOD,70.71,"after taking profits the past few days! Bought NFLX at $75.49 (Long term position) Bought HOOD at $70.71 (Mid swing) A lot of stocks are looking decent rn, some"
2026-02-12,17:40,BUY,NFLX,75.49,uy some more. I have too much cash on hand after taking profits the past few days! Bought NFLX at $75.49 (Long term position) Bought HOOD at $70.71 (Mid swing)
2026-02-18,16:23,SELL,HOOD,77.94,"@VIP Took profits on HOOD at $77.94, 10% profits in 6 days. Still holding most shares! Also"
2026-02-24,21:48,SELL,AMD,214.01,"@VIP Trimming some profits for AMD at $214.01, 11% gains. Gonna hold AMD shares for long term as well"
2026-02-25,17:03,SELL,NFLX,82.05,"@VIP Took profits on NFLX at $82.05, 9% gains. Holding for long term, just taking some prof"
